name,img_path
Wagon R,https://imgd.aeplcdn.com/664x374/n/cw/ec/112947/wagon-r-2022-exterior-right-front-three-quarter-3.jpeg?isig=0&q=80
Etios Cross,https://imgd.aeplcdn.com/664x374/ec/06/13/18034/img/m/Toyota-Etios-Cross-Right-Front-Three-Quarter-49066_ol.jpg?v=201711021421&q=80
Xl6,https://imgd.aeplcdn.com/664x374/n/cw/ec/115601/xl6-exterior-right-front-three-quarter-13.jpeg?isig=0&q=80
Altroz,https://imgd.aeplcdn.com/664x374/n/cw/ec/32597/tata-altroz-exterior-18.jpeg?q=80
Ciaz,https://imgd.aeplcdn.com/664x374/n/cw/ec/48542/ciaz-exterior-right-front-three-quarter-3.jpeg?isig=0&q=80
Hexa,https://imgd.aeplcdn.com/664x374/cw/ec/38637/Tata-Hexa-Right-Front-Three-Quarter-171007.jpg?wm=0&q=80
Zs Ev,https://imgd.aeplcdn.com/664x374/n/cw/ec/110437/zs-ev-exterior-right-front-three-quarter-69.jpeg?isig=0&q=80
Hector,https://imgd.aeplcdn.com/664x374/n/cw/ec/130583/hector-exterior-right-front-three-quarter-75.jpeg?isig=0&q=80
Eeco,https://imgd.aeplcdn.com/664x374/n/cw/ec/135523/eeco-exterior-right-front-three-quarter-2.jpeg?isig=0&q=80
Triber,https://imgd.aeplcdn.com/664x374/n/cw/ec/141119/triber-exterior-right-front-three-quarter-7.jpeg?isig=0&q=80
Marazzo,https://imgd.aeplcdn.com/664x374/n/cw/ec/49114/marazzo-exterior-right-front-three-quarter-5.jpeg?isig=0&q=80
Monte Carlo,https://imgd.aeplcdn.com/664x374/n/cw/ec/175993/kushaq-exterior-right-front-three-quarter.jpeg?isig=0&q=80
Winger,https://imgd.aeplcdn.com/664x374/ec/F2/00/10737/img/m/Tata-Winger-Right-Front-Three-Quarter-48874_ol.jpg?v=201711021421&q=80
City,https://imgd.aeplcdn.com/664x374/n/cw/ec/134287/city-exterior-right-front-three-quarter-77.jpeg?isig=0&q=80
Ignis,https://imgd.aeplcdn.com/664x374/n/cw/ec/142921/ignis-exterior-right-front-three-quarter-2.jpeg?isig=0&q=80
Creta,https://imgd.aeplcdn.com/664x374/n/cw/ec/106815/creta-exterior-right-front-three-quarter-4.jpeg?isig=0&q=80
Tigor,https://imgd.aeplcdn.com/664x374/n/cw/ec/41160/tigor-exterior-right-front-three-quarter-20.jpeg?isig=0&q=80
Safari Storme,https://imgd.aeplcdn.com/664x374/n/cw/ec/138895/safari-facelift-exterior-right-front-three-quarter-39.jpeg?isig=0&q=80
Elantra,https://imgd.aeplcdn.com/664x374/n/cw/ec/41138/elantra-exterior-right-front-three-quarter-3.jpeg?q=80
Nexon Ev,
Alto K10,
S-Presso,
Yaris,
Nexon,
Micra,
Carnival,
Dzire Tour,
Xcent Prime,
Tucson,
Verna,
Xcent,
Scorpio,
Seltos,
Xylo,
Alto,
Polo,
Celerio X,
I20 Active,
E2O Plus,
Swift,
Xuv300,
Harrier,
Wr-V,
S-Cross,
Brv,
Kwid,
Ameo,
Gypsy,
Venue,
Amaze,
Tuv300,
Glanza,
Alto 800 Tour,
Sunny,
Bolero Power Plus,
Kona Electric,
Grand I10 Prime,
Duster,
Xuv500,
Grand I10,
Zest,
Dmax V-Cross,
Baleno,
Corolla Altis,
Tigor Ev,
Tiago,
Kuv100 Nxt,
Compass,
Rapid,
Micra Active,
Tuv300 Plus,
Etios Liva,
Nano Genx,
Thar,
E Verito,
Platinum Etios,
Celerio Tour,
Civic,
Lodgy,
Tiago Nrg,
Octavia,
Dzire,
Kicks,
Celerio,
Innova Crysta,
Vento,
Captur,
Grand I10 Nios,
Bolt,
Bolero,
Vitara Brezza,
Ertiga,
Verito,
Omni,
Santro,
Terrano,
Nuvosport,
Elite I20,
Baleno Rs,
Jazz,
Aura,
Verito Vibe,
